Domain	Phylum	Class	Order	Family	Genus
060879f87dd2711f266303ff4cbff7e2	Bacteria	Caldatribacteriota	JS1	JS1_or	JS1_fa	JS1_ge
235e9c62ad91e7299ebf76e929563b33	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanoperedenaceae	Candidatus_Methanoperedens
37e3b83ed0f56c1259d2c92a310cee41	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Sulfurimonadaceae	Sulfurimonas
d69f2e38113eb13095b050dfd6e2d547	Bacteria	Elusimicrobiota	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium
8a1784c3b4251aa5193b108755a5a7df	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_or	Parcubacteria_fa	Parcubacteria_ge
8bfe9727e557d564560a3c81a5599de8	Bacteria	Caldatribacteriota	JS1	JS1_or	JS1_fa	JS1_ge
52238b9e92dacb4903f14d9c8ff74777	Archaea	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified	Archaea_unclassified
6a08295f50ee6c59187754ab02f2e229	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gillisia
d96fac00b1b3597ca7d9f0dc28e4711f	Bacteria	Caldisericota	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum
2deac2d715fece4ca5c80a6f60622b52	Bacteria	Verrucomicrobiota	Chlamydiae	LD1-PA32	LD1-PA32_fa	LD1-PA32_ge
2d390a9cd228826cedac7ce78ee9a6f0	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia
34d871f3a39bd8fad559f02d056852f3	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylomonadaceae	Methylomonadaceae_unclassified
9ecf972bcbeef0ab9725a82ecdeb0858	Bacteria	Actinobacteriota	WCHB1-81	WCHB1-81_or	WCHB1-81_fa	WCHB1-81_ge
9accb975d8eddc7f7925d9daa1a54736	Archaea	Aenigmarchaeota	Aenigmarchaeia	Aenigmarchaeales	Aenigmarchaeales_fa	Aenigmarchaeales_fa_unclassified
36dd32a2750d081ef844666d7e6fcbf6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Yoonia-Loktanella
8f819384d231401384fb1c126aa8b88d	Bacteria	Verrucomicrobiota	Verrucomicrobiae	LD1-PB3	LD1-PB3_fa	LD1-PB3_ge
05effa47081e24e5633396c966905e19	Archaea	Halobacterota	Methanosarcinia	Methanosarciniales	Methanoperedenaceae	Candidatus_Methanoperedens
ac65a7ba709132b64c7e61fe914d0d07	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Comamonadaceae	Variovorax
6298c492b1b58f09a6e2cc324fe7da38	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales_unclassified	Woesearchaeales_unclassified
66cfa78101a98f5f10fac7966081d85e	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	SCGC_AAA011-D5_ge
cbb739a1ce7a23ea290feb327a563fa4	Bacteria	Patescibacteria	WWE3	WWE3_or	WWE3_fa	WWE3_ge
7ba1d4657a425e7ca47d85b131d2cdeb	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Halomonadaceae	Halomonas
d6f7806b38611ec322ece63a68927dc7	Bacteria	Verrucomicrobiota	Omnitrophia	Omnitrophales	Omnitrophaceae	Candidatus_Omnitrophus
46aa5d603a04a5d0d1e326a1f72a6e60	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	Draconibacterium
c9127aa59811eb9714d67b4cbc0d2421	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Antarcticibacterium
db279cdb4ad975e136a6b7b759a00498	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium
f5e5caec6b1229e10ddd3a90067d91e3	Bacteria	Nitrospirota	Thermodesulfovibrionia	uncultured	uncultured_fa	uncultured_ge
078bbba3b4ed9182be9dba7a3bb3c0bc	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured
f8cfc18ef0b8225484655eeb838bcab1	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfocapsa
2c134029f3a991ea077cb5b156710807	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Alteromonadaceae	Alishewanella
0246dd6042b5ad4ed5f67e14d80fd920	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Lutibacter
c3b0d037beead687082cb26970c53b9a	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Aquiflexum
8c112e19d9b51ac87bd85d7ba46eea2c	Bacteria	Elusimicrobiota	Endomicrobia	Endomicrobiales	Endomicrobiaceae	Endomicrobium
a7ed4a534970529ac7ab69b416594a9e	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified
c13eb7c088fa0389b62534480574fb02	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured
3caae6d8beabd2c81f9b858254028392	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales_unclassified	Pseudomonadales_unclassified
95ac21ba0b2bfc2352885742985bbc2f	Bacteria	Patescibacteria	Parcubacteria	Candidatus_Moranbacteria	Candidatus_Moranbacteria_fa	Candidatus_Moranbacteria_ge
c1d8a5333451464091b7b3442e238b13	Bacteria	Patescibacteria	Parcubacteria	Parcubacteria_unclassified	Parcubacteria_unclassified	Parcubacteria_unclassified
3cca780417233498f09ed2e1c0c99bf0	Bacteria	Caldatribacteriota	JS1	JS1_or	JS1_fa	JS1_ge
0ca7a93f3d60ce78e49821244ee92c67	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter
